Author               | Score  | Files | Issues
kate                 | 70.0   | 12    | author_line_missing, missing_h1
maria                | 70.0   | 8     | author_line_missing, missing_h1
maugham              | 70.0   | 29    | author_line_missing, missing_h1
merimee              | 70.0   | 17    | author_line_missing, missing_h1
moreno               | 70.0   | 20    | author_line_missing, missing_h1
musset               | 70.0   | 9     | author_line_missing, missing_h1
rls                  | 70.0   | 23    | author_line_missing, missing_h1
saul                 | 70.0   | 8     | author_line_missing, missing_h1
simenon              | 70.0   | 51    | author_line_missing, missing_h1, author_italics_missing, metadata_residuals
to                   | 70.0   | 3     | author_line_missing, missing_h1
yk                   | 70.0   | 9     | author_line_missing, missing_h1
am                   | 69.9   | 102   | author_line_missing, legacy_quotes_only, missing_h1
rf                   | 69.74  | 57    | missing_h1, author_line_missing, metadata_residuals, author_italics_missing, legacy_quotes_only
jup                  | 69.31  | 29    | missing_h1, author_line_missing, metadata_residuals, author_italics_missing, legacy_quotes_only
ac                   | 69.07  | 107   | author_line_missing, missing_h1
sergio               | 69.0   | 60    | metadata_residuals, legacy_quotes_only, missing_h1
tw                   | 68.18  | 11    | author_line_missing, missing_h1
mk                   | 67.0   | 5     | author_line_missing, missing_h1, author_italics_missing
